"Tortoise_ID","Effort","Samples"
"T01",28.45,2
"T02",32.08,3
"T03",5.63,3
"T05",30.42,3
"T06",11.27,3
"T07",13.08,3
"T08",35.13,3
"T10",19.5,2
"T12",11.78,3
"T11",NA,NA
"TXX",NA,NA
"TX1",NA,NA
